setup_id,setup_date,stock_ticker,day_number,trading_date,stock_price,benchmark_price,stock_return_day,benchmark_return_day,outperformance_day,stock_return_cumulative,benchmark_return_cumulative,outperformance_cumulative,is_outperforming_day,benchmark_ticker,calculation_date
LGEN_2024-06-24,2024-06-24,LGEN.L,7,2024-07-03,230.5989,770.12,1.7636712,0.7522535,1.0114177,0.17361404,-0.22542822,0.39904225,true,^FTAI,2025-06-26 03:07:00.888
LGEN_2024-06-24,2024-06-24,LGEN.L,8,2024-07-04,233.19662,769.42,1.126509,-0.09089651,1.2174054,1.3020787,-0.31611982,1.6181985,true,^FTAI,2025-06-26 03:07:00.89
LGEN_2024-06-24,2024-06-24,LGEN.L,9,2024-07-05,232.0976,774.39,-0.4712888,0.64594525,-1.117234,0.8246534,0.32778347,0.49686995,false,^FTAI,2025-06-26 03:07:00.892
LGEN_2024-06-24,2024-06-24,LGEN.L,10,2024-07-08,231.19838,775.16,-0.38742998,0.09942774,-0.48685774,0.43402845,0.4275371,0.0064913575,false,^FTAI,2025-06-26 03:07:00.893
HWDN_2024-07-23,2024-07-23,HWDN.L,1,2024-07-24,947.2222,776.64,1.3368987,-0.45246142,1.78936,1.3368987,-0.45246142,1.78936,true,^FTAI,2025-06-26 05:19:53.418
HWDN_2024-07-23,2024-07-23,HWDN.L,2,2024-07-25,911.7326,773.03,-3.746705,-0.46482092,-3.2818842,-2.459896,-0.91517925,-1.544717,false,^FTAI,2025-06-26 05:19:53.424
HWDN_2024-07-23,2024-07-23,HWDN.L,3,2024-07-26,939.72437,779.67,3.070172,0.85895157,2.2112205,0.5347529,-0.0640886,0.59884155,true,^FTAI,2025-06-26 05:19:53.426
HWDN_2024-07-23,2024-07-23,HWDN.L,4,2024-07-29,942.7236,777.32,0.3191581,-0.30140644,0.6205646,0.85561776,-0.36530188,1.2209196,true,^FTAI,2025-06-26 05:19:53.427
HWDN_2024-07-23,2024-07-23,HWDN.L,5,2024-07-30,939.22455,778.16,-0.37116113,0.108059205,-0.47922033,0.4812809,-0.2576374,0.7389183,false,^FTAI,2025-06-26 05:19:53.429
HWDN_2024-07-23,2024-07-23,HWDN.L,6,2024-07-31,940.22424,787.02,0.10643832,1.1385894,-1.032151,0.5882315,0.8780185,-0.289787,false,^FTAI,2025-06-26 05:19:53.43
HWDN_2024-07-23,2024-07-23,HWDN.L,7,2024-08-01,929.72736,783.08,-1.1164238,-0.5006229,-0.6158009,-0.53475946,0.37300003,-0.9077595,false,^FTAI,2025-06-26 05:19:53.432
HWDN_2024-07-23,2024-07-23,HWDN.L,8,2024-08-02,885.2404,771.27,-4.7849445,-1.508147,-3.2767975,-5.294116,-1.1407723,-4.1533437,false,^FTAI,2025-06-26 05:19:53.433
HWDN_2024-07-23,2024-07-23,HWDN.L,9,2024-08-05,871.7444,748.62,-1.5245613,-2.9367177,1.4121566,-6.737965,-4.0439887,-2.6939764,true,^FTAI,2025-06-26 05:19:53.435
HWDN_2024-07-23,2024-07-23,HWDN.L,10,2024-08-06,858.2483,759.67,-1.548171,1.4760476,-3.0242186,-8.181821,-2.6276324,-5.5541887,false,^FTAI,2025-06-26 05:19:53.436
LGEN_2025-03-21,2025-03-21,LGEN.L,1,2025-03-24,243.15117,689.12,0.7870803,0.0,0.7870803,0.7870803,0.0,0.7870803,true,^FTAI,2025-06-26 05:40:23.568
LGEN_2025-03-21,2025-03-21,LGEN.L,2,2025-03-25,242.7514,693.44,-0.16441007,0.62688756,-0.7912976,0.6213762,0.62688756,-0.00551134,false,^FTAI,2025-06-26 05:40:23.577
LGEN_2025-03-21,2025-03-21,LGEN.L,3,2025-03-26,244.15056,693.81,0.57637346,0.053356472,0.523017,1.2013311,0.6805785,0.5207526,true,^FTAI,2025-06-26 05:40:23.579
LGEN_2025-03-21,2025-03-21,LGEN.L,4,2025-03-27,243.7508,696.76,-0.16373709,0.4251902,-0.5889273,1.035627,1.1086625,-0.07303547,false,^FTAI,2025-06-26 05:40:23.581
LGEN_2025-03-21,2025-03-21,LGEN.L,5,2025-03-28,243.7508,696.62,0.0,-0.020095104,0.020095104,1.035627,1.0883446,-0.052717578,true,^FTAI,2025-06-26 05:40:23.583
LGEN_2025-03-21,2025-03-21,LGEN.L,6,2025-03-31,242.65147,681.99,-0.45100138,-2.1001413,1.64914,0.5799549,-1.0346537,1.6146085,true,^FTAI,2025-06-26 05:40:23.586
LGEN_2025-03-21,2025-03-21,LGEN.L,7,2025-04-01,244.35043,688.38,0.70016444,0.93696606,-0.2368016,1.28418,-0.10738191,1.3915619,false,^FTAI,2025-06-26 05:40:23.588
LGEN_2025-03-21,2025-03-21,LGEN.L,8,2025-04-02,244.35043,685.77,0.0,-0.37914893,0.37914893,1.28418,-0.48612368,1.7703037,true,^FTAI,2025-06-26 05:40:23.59
LGEN_2025-03-21,2025-03-21,LGEN.L,9,2025-04-03,237.15485,667.67,-2.9447818,-2.6393743,-0.30540767,-1.6984181,-3.1126673,1.4142491,false,^FTAI,2025-06-26 05:40:23.592
LGEN_2025-03-21,2025-03-21,LGEN.L,10,2025-04-04,222.36389,640.54,-6.236834,-4.0633855,-2.1734488,-7.8293247,-7.049573,-0.77975184,false,^FTAI,2025-06-26 05:40:23.594
DGE_2024-07-30,2024-07-30,DGE.L,1,2024-07-31,2418.198,787.02,0.041370213,1.1385894,-1.0972191,0.041370213,1.1385894,-1.0972191,false,^FTAI,2025-06-26 12:08:33.182
DGE_2024-07-30,2024-07-30,DGE.L,2,2024-08-01,2399.204,783.08,-0.78545666,-0.5006229,-0.28483373,-0.74441135,0.6322664,-1.3766778,false,^FTAI,2025-06-26 12:08:33.187
DGE_2024-07-30,2024-07-30,DGE.L,3,2024-08-02,2379.211,771.27,-0.83332485,-1.508147,0.6748221,-1.5715328,-0.8854161,-0.68611676,true,^FTAI,2025-06-26 12:08:33.189
DGE_2024-07-30,2024-07-30,DGE.L,4,2024-08-05,2358.2178,748.62,-0.88235825,-2.9367177,2.0543597,-2.4400246,-3.7961318,1.3561072,true,^FTAI,2025-06-26 12:08:33.19
DGE_2024-07-30,2024-07-30,DGE.L,5,2024-08-06,2367.2148,759.67,0.3815199,1.4760476,-1.0945277,-2.0678139,-2.3761168,0.30830303,false,^FTAI,2025-06-26 12:08:33.192
DGE_2024-07-30,2024-07-30,DGE.L,6,2024-08-07,2405.2021,767.32,1.6047257,1.0070194,0.59770626,-0.49627087,-1.3930254,0.8967545,true,^FTAI,2025-06-26 12:08:33.194
